1,94,1.13,56.4112,54.3245,2.0868
1,393,1.83,827.9905,717.1920,110.7985
1,898,6.62,4011.7242,3423.2513,588.4729
1,778,6.12,2303.0765,2303.0765,0.0000
1,148,1.79,32.1158,32.1158,0.0000
1,101,1.21,508.9155,284.2569,224.6586
1,229,1.40,87.4587,87.4587,0.0000
1,155,2.58,241.1088,143.1367,97.9721
1,751,3.00,1425.2407,1425.2407,0.0000
1,14,6.88,366.0568,270.1285,95.9282
2,68,6.48,3269.2433,2796.9142,472.3291
2,453,4.06,1748.5993,1737.1415,11.4578
2,671,1.36,159.0223,136.3012,22.7211
2,459,5.68,161.0468,103.3931,57.6538
2,40,6.96,6137.1438,3658.0645,2479.0793
3,176,3.03,1696.4649,1537.3599,159.1050
3,126,1.18,514.8805,452.7053,62.1752
3,719,4.62,679.4065,443.7872,235.6193
3,144,4.43,496.0098,318.0795,177.9303
3,139,2.67,1898.0429,1898.0429,0.0000
3,42,1.22,42.7219,42.7219,0.0000
3,192,5.21,1808.8424,1808.8424,0.0000
3,596,2.47,3309.7597,2862.2558,447.5039
3,637,1.96,1447.9553,1200.5744,247.3809
4,75,4.84,264.1996,165.5029,98.6966
5,43,4.03,1423.0223,893.4451,529.5772
5,36,3.09,834.1122,561.0615,273.0507
5,24,3.56,105.4862,105.4862,0.0000
6,344,3.82,213.8344,172.0196,41.8148
6,134,4.45,1697.0317,1189.8268,507.2049
6,45,5.30,518.1605,441.2275,76.9330
7,48,3.24,811.4195,811.4195,0.0000
7,74,2.99,998.6914,940.1395,58.5520
7,55,2.18,71.7881,41.1537,30.6343
7,35,8.09,294.6483,217.0618,77.5866
7,91,2.02,2073.5102,1422.5117,650.9985
7,10,1.20,92.3583,58.9953,33.3630
7,83,6.87,1086.7375,805.9770,280.7606
7,96,2.82,460.9575,460.9575,0.0000
7,29,4.24,90.7259,69.5702,21.1557
8,7,2.60,562.6888,368.5246,194.1642
9,78,1.62,245.3171,232.4127,12.9044
9,87,2.33,219.0990,212.1325,6.9665
9,158,3.91,2503.2859,2503.2859,0.0000
9,96,3.11,352.6299,342.1350,10.4948
9,228,1.09,65.4979,48.5221,16.9758
9,200,1.50,270.2867,236.1813,34.1054
9,137,2.78,1999.3298,1602.7792,396.5506
9,583,1.11,674.7370,672.4775,2.2595
9,671,1.46,138.6117,73.9242,64.6876
9,80,6.89,250.7096,169.4733,81.2363
10,78,1.43,217.0999,149.3960,67.7039
10,2,9.09,2068.3064,2068.3064,0.0000
10,96,3.09,350.6486,254.8681,95.7805
10,260,2.10,237.3483,193.0685,44.2798
10,106,2.14,1478.9272,1058.2905,420.6367
10,21,2.79,297.5190,214.0516,83.4674
10,104,4.03,692.7334,644.5791,48.1543
10,27,2.42,1325.0870,1325.0870,0.0000
10,337,3.90,623.7754,478.8458,144.9296
10,3,3.57,1167.1772,838.0164,329.1609
10,47,3.02,1144.2122,1144.2122,0.0000
10,111,9.89,5068.8670,3134.1100,1934.7569
10,81,4.43,158.0568,118.2509,39.8059
10,406,2.61,1368.8159,1368.8159,0.0000
11,70,5.59,1053.9031,597.7904,456.1127
11,109,1.02,398.2288,317.6065,80.6223
11,40,1.78,267.9555,161.0294,106.9261
11,45,1.31,166.9185,129.3761,37.5424
11,102,7.01,3640.4094,2941.8439,698.5655
11,424,4.40,1325.2060,1325.2060,0.0000
11,123,4.97,2539.9551,2539.2031,0.7519
11,38,1.79,747.7238,567.1223,180.6015
12,341,1.05,1264.2056,1074.8386,189.3670
13,27,4.59,933.3185,928.1067,5.2118
13,744,2.46,985.0154,985.0154,0.0000
13,106,5.03,4202.6233,4202.6233,0.0000
13,950,5.86,253.1430,232.8741,20.2689
13,30,2.45,489.7020,489.7020,0.0000
13,152,4.52,460.2212,275.4527,184.7686
13,122,1.79,334.3624,266.2713,68.0911
13,3,1.53,94.8643,62.4136,32.4508
13,169,1.84,41.4055,38.4969,2.9086
13,949,5.27,2691.1790,2691.1790,0.0000
13,170,3.17,1307.0229,847.7579,459.2650
13,187,2.99,181.4195,120.9119,60.5076
13,178,2.59,483.5455,380.5829,102.9626
13,211,2.88,140.8027,72.2166,68.5860
13,288,2.39,295.5451,295.5451,0.0000
14,596,2.63,248.5262,182.4598,66.0664
15,947,1.73,370.6234,370.6234,0.0000
16,66,4.34,844.8609,745.0948,99.7661
16,182,4.54,546.9061,320.6890,226.2171
16,378,1.27,538.1282,357.5532,180.5749
16,26,5.65,3989.5305,3989.5305,0.0000
16,8,1.48,119.1378,95.8658,23.2720
